ID_REF	leaf1	leaf2	protoplast1	protoplast2
265273_at	258.392431	221.971401	442.0359819	475.4500593
265274_at	94.96539553	85.94191386	67.67588764	65.95453698
265275_at	13.36390753	13.98501601	11.35747323	10.42994757
265276_at	38.30232332	34.99289209	1859.243483	1723.23053
265277_at	43.97494902	38.7337694	18.67181155	17.59971303
265278_at	27.34812463	23.87683984	20.68294905	21.45764735
265279_at	13.75905995	12.75012954	12.75012954	12.75012954
265280_at	11.02013506	11.14079283	11.02013506	10.78085729
265281_at	280.3412051	225.2744678	283.4479451	311.0300151
265282_at	17.34286088	15.51326016	17.34286088	20.04540971
265283_at	148.6071788	220.7806616	121.2953135	96.34714423
265284_at	1184.120347	1111.505984	1099.247092	1199.06986
265285_at	160.2932651	131.6587869	179.1382987	188.0574956
265286_at	976.0356274	909.1660488	761.4523771	757.6354362
265287_at	3462.743957	4007.814444	1455.601775	1248.517216
265288_at	385.9526357	357.2672845	281.488076	276.965026
265289_at	95.88810808	82.95229552	274.1078814	317.7063246
265290_at	15.61759066	15.61759066	14.33390706	13.46329843
265291_at	144.1972659	195.7936275	227.2111777	217.8528233
265292_s_at	8.707267224	9.249016731	8.932227522	9.157475905
265293_at	10.68000191	10.75063521	9.662791287	10.25325446
265294_at	10.70668532	10.72495731	10.88319313	12.77835305
265295_at	19.99905603	26.98601414	18.10517228	18.00717549
265296_at	11.65098481	11.36298525	9.171705301	10.9112161
265297_at	28.86121239	34.52979826	31.68174731	41.02780311
265298_s_at	8.651018537	8.248718481	9.676464334	9.042426712
265299_at	21.33884226	29.87320245	26.21626035	29.87320245
265300_at	10.6251404	10.22514928	9.472071689	10.90463821
265301_s_at	21.4099571	27.61978147	85.03294503	84.01587213
265302_at	10.75383995	10.42062569	10.74348389	11.15740796
265303_at	10.30762463	10.30762463	10.30762463	10.90630121
265304_at	7.666882129	7.632998988	7.666882129	8.152542178
265305_at	259.5394438	258.9787653	230.5059211	247.1237743
265306_at	64.25336027	70.42960078	425.3657313	484.4218065
265307_at	87.23468696	81.67428416	78.51628456	78.28478308
265308_at	49.52722897	58.07518743	32.69096366	37.0581768
265309_at	42.17072735	64.65544646	15.40610224	14.75058227
265310_at	557.1801301	512.6356498	614.0064497	633.6797048
265311_at	37.74307339	41.22706921	14.84937186	17.53797168
265312_at	18.28336863	21.71800983	10.81753587	10.18701874
265313_at	33.95542065	34.09527698	34.09527698	37.77919353
265314_at	68.71437327	78.88012867	54.43527724	56.71388179
265315_at	66.30381603	59.10425128	39.40863843	48.48780364
265316_at	30.98847814	31.86564593	65.97099686	71.97031163
265317_at	58.32004792	53.36233901	36.03033099	36.89849325
265318_at	63.48791085	51.41794334	38.5802343	38.62063553
265319_at	2165.073069	2215.628061	285.9600898	228.1501829
265320_at	8.205094786	6.911265969	8.193444022	9.099327975
265321_at	168.1972141	177.5485786	292.7793516	309.4408816
265322_at	11.43298329	11.47100588	11.41437531	11.18078827
265323_at	10.65427117	10.47602861	10.47602861	10.04356817
265324_at	166.7230771	136.4501339	180.1706246	186.2078392
265325_at	113.858643	104.6421298	130.9098642	117.7881014
265326_at	70.94061833	58.05788051	53.88493203	48.91991527
265327_at	155.1360324	166.3606019	180.5506745	187.2056283
265328_at	7.693126334	8.087198372	8.319345309	9.04474607
265329_at	10.53471953	11.2301088	10.42770667	11.63895801
265330_at	535.2651817	823.1548258	428.2917271	519.0752895
265331_at	14.51165341	14.51165341	14.13627397	14.51165341
265332_at	35.07764529	38.62197404	46.00408283	38.62197404
265333_at	22.51149555	17.25030542	191.8613097	170.8042426
265334_at	10.95554994	13.54182241	12.85867424	12.75012954
265335_at	23.91112327	25.16680206	13.43728718	14.80271599
265336_at	118.2552153	121.1465911	80.49124694	68.8321181
