	GSM388810	GSM388811	GSM388812	GSM388813	GSM388814	GSM388815	GSM388816
244901_at	6.06143	3.20096	6.56391	4.3722	6.736	3.57475	6.89622
244902_at	5.90378	4.48884	6.44487	4.48627	6.16654	4.72804	6.54721
244903_at	6.66748	3.51992	6.74423	4.52754	7.13392	4.00575	7.0379
244904_at	6.42936	5.26497	6.30789	5.04403	6.69083	4.87665	6.41721
244905_at	3.652	3.37488	3.59243	3.31743	3.3724	3.60356	3.44371
244906_at	8.42702	3.61656	8.10012	4.61331	8.86265	4.20145	8.34274
244907_at	3.21566	3.29743	3.29181	3.26235	3.33305	3.03185	3.48932
244908_at	3.53396	3.2919	3.33645	3.50951	3.41917	3.48372	3.27074
244909_at	3.45281	3.36826	3.64343	3.4647	3.46207	3.46207	3.46207
244910_s_at	3.71121	3.42263	3.44041	3.2796	3.33305	3.42263	3.57184
244911_at	2.87776	3.13315	3.01545	3.01545	2.95674	3.01545	3.13029
244912_at	6.96365	4.78203	6.44655	4.68543	6.31455	5.26602	5.89723
244913_at	4.09258	4.40723	4.21574	4.13136	4.13136	4.13548	4.05279
244914_at	3.08218	3.04978	3.16909	3.16909	3.424	3.16909	3.22916
244915_s_at	4.45435	3.6708	4.1486	3.67244	3.77758	3.8852	3.99204
244916_at	3.68369	3.41919	3.50557	3.45107	3.59556	3.50557	3.44346
244917_at	3.71575	3.49915	3.60649	3.37686	3.64738	3.56769	3.46647
244918_at	3.38258	3.10754	3.16333	3.16333	3.16333	3.07238	3.16333
244919_at	4.79683	4.46497	5.23459	4.17431	4.95972	4.64902	5.00182
244920_s_at	6.79173	3.88223	7.19408	4.58745	7.17395	4.46149	7.63244
244921_s_at	6.5929	4.28526	7.40085	4.78855	7.1875	4.27579	7.48202
244922_s_at	5.01102	4.56934	4.97319	4.41271	5.1842	4.47834	5.35853
244923_s_at	5.48696	5.19426	6.06548	5.19998	5.49095	5.21743	6.07123
244924_at	4.28143	3.85187	3.99221	3.88591	4.04206	3.82867	4.41877
244925_at	4.42034	4.04159	4.35364	3.6821	4.06741	3.87189	4.06741
244926_s_at	3.32771	3.06316	3.73378	3.03133	3.66887	3.0983	3.8303
244927_at	4.77897	4.35218	4.1969	4.28013	4.34234	4.28126	4.28126
244928_s_at	5.38184	4.8203	5.37113	4.70049	5.4448	4.8131	5.62153
244929_at	5.13362	4.16417	5.50255	4.03202	5.53007	4.206	5.49639
244930_at	3.37091	3.19934	3.19934	3.12969	3.19934	3.19934	3.20472
244931_at	3.86583	3.70498	5.06315	3.34078	3.86583	3.7308	4.61181
244932_at	3.9314	3.80135	4.04464	3.84873	3.93387	3.91306	4.27731
244933_at	3.46352	3.46352	3.46352	2.97339	3.46352	3.39946	3.64209
244934_at	4.90723	4.82563	4.78538	4.57617	4.82563	4.9512	5.28187
244935_at	3.87006	3.92458	4.04447	4.7106	3.9999	3.88454	3.9999
244936_at	3.41917	3.44373	3.41322	3.85593	3.55498	3.48712	3.61855
244937_at	3.14426	3.13242	2.9946	2.96243	2.81636	3.02389	2.9946
244938_at	4.32694	4.08631	4.24481	4.00544	3.95335	4.18685	4.08631
244939_at	3.2636	3.14319	3.19753	3.06885	3.14319	3.14319	3.26097
244940_at	3.14794	3.26681	2.98473	3.04037	3.24052	3.079	3.20303
244941_at	4.05767	3.82959	3.99402	3.89924	3.9955	3.74821	3.92317
244942_at	3.56581	3.88566	3.74368	3.66918	3.56581	3.55257	3.35118
244943_at	5.4394	3.21873	5.95802	4.07356	6.25412	3.41557	6.41386
244944_s_at	6.91195	4.01139	7.22389	5.36835	7.4685	4.17191	7.64967
244945_at	4.16788	3.63563	4.28443	3.879	4.3479	3.78572	4.46536
244946_at	3.84685	3.53344	3.97933	3.52272	3.63117	3.54511	4.12139
244947_at	3.37294	3.39281	3.55045	3.22659	3.50871	3.10623	3.4534
244948_at	3.30481	3.71195	3.31696	3.31696	3.50871	3.30481	3.30481
244949_at	3.74043	3.74043	3.94782	3.66837	3.90189	3.65006	3.94571
244950_at	6.88435	3.4527	7.19233	4.0351	7.48595	3.69558	7.07671
244951_s_at	6.83081	4.02655	6.9892	5.342	7.27832	4.92036	7.48991
244952_at	3.63898	3.35088	3.54949	3.2565	3.35088	3.13346	3.35088
244953_s_at	7.1037	3.5728	8.13351	3.25795	7.73565	3.48253	8.3338
244954_s_at	3.67394	3.16333	3.90796	3.53634	3.91202	3.50871	4.00648
244955_at	3.3713	3.31628	3.51261	3.2997	3.3713	3.17603	3.55339
244956_s_at	4.12234	3.74763	3.97647	3.8477	4.16809	3.86185	3.94429
244957_at	4.30312	3.8844	3.98001	3.80194	4.04585	3.98001	4.06906
244958_at	3.95418	4.04279	3.72204	3.87614	3.95562	3.95543	4.08376
244959_s_at	4.23078	3.73371	4.53683	3.95418	4.63601	3.67051	4.79917
244960_at	3.56825	3.06459	4.41334	5.94777	5.83466	3.08576	5.68482
244961_at	4.00081	4.36054	4.13241	4.36853	4.22301	4.13241	4.20582
244962_at	4.37955	4.15498	4.23693	4.14813	4.23693	4.08496	4.47552
244963_at	6.91047	6.6916	7.32199	7.40019	7.10756	6.37116	7.22743
244964_at	6.1278	6.00969	6.60893	6.97156	6.64412	6.15904	6.78784
244965_at	3.54419	3.26988	3.45922	3.34431	3.2001	3.35755	3.5565
244966_at	3.4535	3.38782	3.64188	3.24456	3.44662	3.29483	3.88178
244967_at	5.45977	5.90494	5.89104	7.25048	6.45141	5.77577	6.67927
244968_at	3.60069	3.86904	3.72204	7.11724	3.6748	3.85489	3.80327
244969_at	2.58822	2.83471	2.86056	3.53811	2.80019	2.93546	2.86056
244970_at	3.2243	3.01032	3.13478	3.16485	3.40181	3.16485	3.16485
244971_at	3.7121	3.63117	3.67647	3.81058	3.67647	3.54458	3.67647
244972_at	5.68175	5.30613	5.70017	5.71943	5.72571	5.71943	5.95829
244973_at	3.48506	3.81058	3.6617	3.45965	3.45847	3.48506	3.48506
244974_at	3.90186	4.04159	4.00774	3.82772	4.09369	3.91805	3.82571
244975_at	4.91709	4.80278	5.10327	4.81504	4.93968	4.48773	5.08912
244976_at	7.1546	6.11477	7.34102	7.1546	7.16284	6.02667	7.43977
244977_at	5.40148	4.81182	5.32538	4.36798	4.99706	3.91378	5.19546
244978_at	8.12029	7.9362	8.31885	9.41423	8.27915	8.27915	8.27915
244979_at	7.2922	6.27178	8.06701	9.37967	7.92333	7.64882	8.1506
244980_at	5.73214	4.68874	6.22582	7.40855	6.00945	5.9861	6.14191
244981_at	4.11899	3.70167	4.75236	5.41921	4.38498	4.14988	4.6821
244982_at	3.70165	3.31772	4.00712	4.29606	3.76947	3.53135	3.77921
244983_at	4.08944	3.47023	4.68543	4.64947	4.36056	4.04013	4.53405
244984_at	3.46207	3.17313	3.77403	5.17251	3.87579	3.25473	3.67244
244985_at	4.06735	3.72205	4.44692	4.84015	4.04613	3.95543	4.04613
244986_at	3.99438	4.07513	4.23562	4.77952	4.20194	4.07969	4.24645
244987_s_at	8.56826	7.97757	8.76138	9.11261	8.57303	8.18638	8.963
244988_s_at	6.81215	6.81183	7.14497	7.43438	6.93257	7.0732	7.33073
244989_s_at	3.81881	3.8529	3.89627	3.53773	3.75103	3.80126	3.60533
244990_s_at	2.96563	2.85677	2.80708	2.85677	2.96674	2.85677	2.74275
244991_s_at	4.04464	4.04065	3.85755	3.45771	3.81263	3.85755	3.97095
244992_s_at	3.73914	3.46905	3.72204	3.75903	3.62404	3.54615	3.92531
244993_s_at	3.24941	3.18681	3.40201	3.31132	3.31132	3.31132	3.44558
244994_at	3.12928	3.22676	3.12928	3.07005	3.1279	3.12928	3.11189
244995_at	3.24103	2.92989	3.07239	3.01531	2.94501	2.91753	3.01239
244996_at	2.99008	2.99008	2.99008	2.87753	3.0681	2.84019	3.01932
244997_at	4.57826	4.36095	4.52848	4.32628	4.16787	4.44022	4.45544
244998_at	3.59558	3.49506	3.60186	3.59558	3.76346	3.6129	3.47763
244999_at	3.42168	3.39213	3.35118	3.2334	3.26607	3.35118	3.35118
245000_at	6.307	5.90751	5.68606	5.45242	5.82819	5.5188	5.60287
245001_at	9.28102	7.11296	9.57943	10.4074	10.4277	7.10381	10.0359
245002_at	7.38192	7.24303	7.41226	6.79637	7.61917	7.38192	7.92515
245003_at	7.45982	7.11676	7.56557	7.16465	7.82942	7.56557	7.95745
245004_at	4.18683	4.79331	4.54655	6.12017	4.47693	4.58056	4.55029
245005_at	3.67647	3.63117	3.85796	3.81261	3.8808	3.81261	3.83284
245006_at	7.1381	6.09482	7.17257	7.54124	7.55144	6.46437	7.51175
245007_at	5.78762	5.15105	5.79408	5.07243	5.39535	5.21569	5.865
245008_at	3.16909	3.16333	3.08066	3.16333	3.16647	3.09021	3.16333
245009_at	7.5848	5.93833	7.79799	9.89491	8.43581	6.94856	7.95183
245010_at	5.63645	5.04285	5.91554	6.1607	5.91974	5.06076	6.20328
245011_at	5.03265	4.69331	5.41449	5.47965	5.52663	4.60544	5.91264
245012_at	9.91291	8.89224	10.5734	10.8216	10.5614	8.84628	10.3258
245013_at	7.38781	7.8614	8.14426	8.74654	8.11484	7.79034	8.53491
245014_at	8.14027	8.50629	8.53017	8.74885	8.26729	8.52901	8.79702
245015_at	6.03971	5.75895	6.00835	6.03971	6.63332	6.03971	6.2102
245016_at	3.51137	3.39243	3.3588	3.39243	3.41964	3.1491	3.43361
245017_at	4.18145	4.26174	4.18145	4.26557	4.18145	3.99499	4.22254
245018_at	4.72708	4.66929	4.66929	4.6373	4.78447	4.41614	4.67506
245019_at	4.91943	4.91943	4.67749	4.93166	5.07489	4.55062	5.0216
245020_at	5.16049	4.68966	4.65948	4.64536	4.70391	4.63689	4.80755
245021_at	4.92227	4.48293	5.4448	5.92504	5.74078	4.25406	6.02748
245022_at	5.75716	5.57681	5.83477	5.78283	5.75816	5.27446	5.95634
245023_at	7.64466	7.3968	7.96806	8.06259	7.91724	7.68373	8.27184
245024_at	6.52428	6.34778	6.54152	6.98272	6.54152	6.03939	6.78145
245025_at	4.3715	4.35957	4.45908	4.44299	4.41249	4.41249	4.61189
245026_at	6.06716	5.63724	6.13024	5.70451	5.95432	5.54758	6.15195
245027_at	4.55258	7.9418	4.65874	7.96069	4.84195	7.8624	5.08284
245028_at	7.81073	7.42896	7.4163	7.42896	7.42896	7.34866	7.42896
245029_at	3.28644	6.18912	3.46972	6.57648	3.45237	6.37063	3.2449
245030_at	2.98723	2.89104	2.90106	2.88872	2.90106	2.95701	2.90106
245031_at	4.12234	5.46181	3.97263	4.57377	4.1756	5.4702	4.21783
245032_at	4.94733	3.96514	3.34595	6.26352	4.49937	4.18112	3.42082
245033_at	4.24157	4.07947	4.27551	3.9846	4.60308	4.07942	4.36519
245034_at	4.28811	3.95749	4.35744	4.29956	4.34448	4.24595	4.36866
245035_at	5.48316	5.45266	5.45266	5.23082	5.5677	5.27737	5.45266
245036_at	3.0066	3.2027	3.0066	2.93655	3.01726	2.97004	3.0066
245037_at	3.43425	3.43425	3.20949	3.53449	3.43425	3.43425	3.53828
245038_at	11.1119	7.52698	11.359	7.87015	10.867	7.67451	11.3247
245039_at	6.8745	7.24501	6.60087	7.46078	6.40303	7.5865	6.37431
245040_at	4.41427	4.08128	4.00433	4.28013	4.10171	4.06046	4.08128
245041_at	12.0977	5.5159	12.2071	6.61882	12.1147	5.88536	12.1823
245042_at	8.78157	8.48252	9.39759	8.2035	8.59241	8.18745	9.29687
245043_at	8.10092	7.31981	8.34324	7.26822	8.08014	7.52372	8.36335
245044_at	11.2879	12.9337	11.4153	13.0807	11.6153	12.7983	11.4873
245045_at	9.3647	8.71353	9.10705	8.68902	9.44685	8.39199	9.24752
245046_at	8.54543	8.10862	8.68912	8.02897	8.47118	8.17815	8.71214
245047_at	9.29752	8.53154	9.33839	9.26898	10.3752	8.92173	10.0606
245048_at	3.0485	3.42846	3.21306	3.61509	3.28149	3.3452	3.2802
245049_at	2.8762	3.00474	3.05255	2.87278	2.92732	2.96522	2.89837
245050_at	8.07452	7.22666	8.15553	7.74599	7.74355	7.66253	8.10542
245051_at	11.0616	6.58515	11.2231	6.8558	11.1255	6.27426	11.1044
245052_at	4.23052	7.0145	4.44691	8.7963	4.22671	6.87236	4.88094
245053_at	3.7815	3.95096	3.67244	3.72742	3.72742	3.77234	3.64016
245054_at	7.27913	6.11118	7.34065	6.10375	7.07857	6.70337	7.31321
245055_at	3.2796	3.55213	3.42932	3.61711	3.22822	3.80408	3.42507
245056_at	4.43378	4.38252	4.48111	4.02935	4.40052	4.19248	4.44964
245057_at	3.80721	3.80721	4.23693	3.50897	3.86609	3.73478	3.80721
245058_at	3.43915	3.26584	3.38387	3.19982	3.36329	3.32164	3.39057
245059_at	8.58627	8.19416	8.42129	8.34977	8.7675	8.05545	8.42796
245060_at	11.4979	10.631	11.7037	10.8288	11.4275	10.6744	11.6792
245061_at	10.7776	13.9459	10.8234	13.807	10.6811	13.8575	10.9975
245062_at	8.41923	7.78104	8.31279	7.74223	8.54185	7.43968	8.38872
245063_at	6.93055	6.62517	6.89837	6.99734	7.32722	6.72462	7.28943
245064_at	7.56747	4.07948	7.69159	3.84873	7.85486	4.02125	7.74276
245065_at	7.5621	8.01971	7.71258	8.05839	7.49588	8.19652	7.76928
245066_at	7.88914	7.98824	7.75214	8.43905	7.90307	7.90403	7.68516
245067_at	11.172	10.5063	11.3149	10.6742	11.2071	10.3798	11.2268
245068_at	3.87097	3.9955	3.9955	3.9955	3.9955	4.05914	3.9131
245069_at	3.67647	3.54998	3.55687	3.54998	3.5728	3.47511	3.49689
245070_at	4.64231	4.28596	4.40052	4.25467	4.40052	4.32244	4.42767
245071_at	3.92668	4.0924	4.08635	4.08635	3.90634	4.23869	4.08635
245072_s_at	3.5867	3.57253	3.66827	3.4229	3.55118	3.41946	3.664
245073_at	3.79187	3.47785	3.97144	3.67244	4.1933	3.41451	3.79187
245074_at	4.09461	6.78524	3.90796	7.3173	4.50345	6.50549	4.0453
245075_at	3.5728	5.23646	3.42412	5.954	3.25021	5.43647	3.27901
245076_at	9.58674	4.48527	8.19463	5.08856	9.89429	4.69122	8.29054
245077_at	4.07201	3.95335	3.95335	3.95335	3.95335	3.87703	3.65006
245078_at	7.68012	6.76293	8.08733	7.23358	8.00117	6.937	8.19027
245079_at	4.45049	4.2579	3.9955	4.03433	4.26612	4.03433	4.0161
245080_at	5.52555	4.13491	5.014	4.03383	5.46813	4.13783	4.93968
245081_at	4.16044	4.16044	4.16044	3.95439	4.16044	4.069	4.16044
245082_at	6.2638	4.80385	5.82562	4.78101	6.28194	4.98278	5.83801
245083_at	8.6721	7.48998	8.28705	7.28734	8.28066	7.42358	8.0847
245084_at	6.0849	5.11286	5.8372	5.17623	5.64264	5.33713	5.66925
245085_at	9.17484	9.81839	9.03284	9.98781	9.05933	9.59953	8.95899
245086_at	3.98477	3.43481	3.65367	3.5363	4.09043	3.3404	3.78952
245087_at	4.28256	4.90078	4.30796	4.55469	4.22735	4.87674	4.24308
245088_at	3.567	7.95097	4.18549	7.07745	4.18821	7.00435	4.24344
245089_at	6.07066	4.56385	5.90437	4.66923	6.40283	4.47567	5.97902
245090_at	4.44615	6.4818	4.30235	5.8899	4.43133	6.39601	4.41361
245091_at	3.46207	3.43398	3.52569	3.46207	3.70128	3.29309	3.46207
245092_at	7.32859	7.00137	7.21626	7.44621	7.19369	7.19739	7.26953
245093_at	4.89951	5.14944	4.88639	5.31074	4.79185	4.80233	4.89951
245094_at	7.61008	9.44766	8.00543	9.26588	7.76711	9.35639	8.1043
245095_at	5.83528	5.58017	6.15509	5.17892	5.29528	5.81651	5.77061
245096_at	10.2943	10.5431	10.3234	10.4654	10.7482	10.4858	10.4858
245097_at	6.51833	6.88224	6.40907	6.73645	6.22337	6.78307	6.16447
245098_at	7.08741	7.69424	7.09487	7.44376	7.06131	7.88098	7.04468
245099_at	7.38123	7.87664	7.04994	8.12078	7.16281	8.10036	7.20325
245100_at	7.02245	6.67505	7.07684	6.59003	7.07528	6.66766	7.3375
245101_at	11.4515	9.204	11.5312	9.66211	11.4838	9.34297	11.5422
245102_at	3.36007	3.24253	3.48281	3.39415	3.42981	3.35405	3.25507
245103_at	3.6888	3.40129	3.40129	3.22136	3.76947	3.08191	3.29256
245104_at	6.92171	7.53553	6.74963	7.39911	6.90795	7.52808	6.66724
245105_at	3.55396	3.55852	3.55396	3.52799	3.55396	3.50168	3.55396
245106_at	5.97293	5.43398	6.01244	6.15008	6.1639	5.82452	6.44527
245107_at	4.00398	3.59153	4.23918	3.56604	4.60616	3.77483	4.09385
245108_at	3.5728	3.81415	3.4424	3.67933	3.39186	3.74987	3.29655
245109_at	6.64974	6.19166	6.52629	6.13432	5.91746	6.59472	6.40283
245110_at	3.35546	3.35405	3.58986	3.52905	3.35546	3.35546	3.33971
245111_at	3.42558	3.33042	3.50557	3.5292	3.39224	3.53823	3.4402
245112_at	6.94306	6.2625	7.10618	6.62325	6.94545	6.17107	7.07322
245113_at	6.61669	4.09226	6.69541	4.50104	6.29583	4.28888	6.69085
245114_at	9.54602	8.42671	9.57919	8.06089	9.44952	8.45413	9.56238
245115_at	8.48141	9.86915	8.09639	9.8113	8.38243	9.82413	8.05849
245116_at	7.26819	7.31105	7.26819	7.44762	7.26819	7.26819	7.26819
245117_at	6.49053	9.75227	6.97159	9.44008	6.39293	9.55243	7.26118
245118_at	8.8981	10.5608	8.80944	10.4931	8.81867	10.7372	8.93743
245119_at	9.6035	4.01781	9.64549	4.40543	9.78347	4.14876	9.65325
245120_at	5.95459	6.60927	5.90221	6.41747	5.70077	6.74997	6.08057
245121_at	10.8831	11.0022	11.0151	11.3976	10.7832	11.0022	11.0157
245122_at	9.08906	7.02652	8.47246	7.33001	8.88604	7.17419	8.41871
245123_at	7.76188	11.2692	7.30866	11.2166	7.75283	11.4186	7.60922
245124_at	8.11839	8.21331	8.07	8.35538	8.00643	8.277	7.9422
245125_at	3.59153	3.43425	3.43425	3.33397	3.40832	3.43425	3.43425
245126_at	4.15105	3.92321	4.14431	3.98415	4.04585	3.80029	4.08635
245127_at	10.3302	7.6703	10.4638	7.56729	10.2066	7.88937	10.4996
245128_at	2.92275	2.87962	2.97427	2.8949	2.8949	2.90131	2.78799
245129_at	3.54527	3.67126	3.31387	3.83551	3.38272	3.6711	3.3685
245130_at	3.50697	7.19053	3.68165	7.23232	3.46352	7.33211	4.00834
245131_s_at	8.69136	7.43069	8.64048	7.24866	8.82423	7.32854	8.78499
245132_at	6.29163	6.00262	6.29163	5.94498	6.29163	6.49298	6.31854
245133_at	4.22166	4.87362	4.2899	5.05592	4.38895	5.12472	4.55445
245134_s_at	7.09461	8.02632	7.20576	8.02414	7.05868	7.75472	7.42636
245135_at	3.16909	3.10405	3.12637	3.01029	3.18936	3.2679	3.16909
245136_at	8.07005	4.21758	7.77777	3.76745	8.003	3.91377	7.83519
245137_at	4.61562	5.081	4.58943	4.93967	4.5227	4.85064	4.61562
245138_at	4.61811	7.54585	4.69692	7.75322	4.55712	7.47836	4.68125
245139_at	4.58177	4.55688	4.68966	4.39514	4.65736	4.54845	4.47991
245140_at	3.39599	3.29365	3.19775	3.31549	3.15711	3.29365	3.23499
245141_at	4.29547	4.38545	4.38545	4.47552	4.8521	3.83853	4.55311
245142_at	6.97501	8.63815	6.83085	8.34855	6.58917	8.45018	6.72028
245143_at	4.55285	4.6995	4.27763	4.70565	4.32424	4.89564	4.36958
245144_at	8.80487	8.26841	8.85159	8.36417	8.69336	8.29444	8.69789
245145_at	8.80871	8.45439	8.77519	8.92298	8.77519	8.11475	8.80663
245146_at	7.51289	7.56274	7.56274	7.36331	7.47294	7.97872	7.7798
245147_at	5.12162	4.49881	4.74416	4.86781	5.16259	4.80243	4.90141
245148_at	11.6304	4.94976	11.1018	5.23699	11.3676	5.07457	10.8533
245149_at	6.2432	5.45266	6.51637	5.66472	6.43137	5.48696	6.73206
245150_at	6.2638	9.77477	6.31323	9.90927	6.37105	10.0335	6.68019
245151_at	11.1908	3.56657	11.362	3.5447	11.2056	3.3476	11.2476
245152_at	9.24105	10.2062	9.35639	9.90433	8.91845	10.4052	9.15614
245153_at	3.07131	3.03591	3.01698	3.17949	3.01526	3.08435	3.07131
245154_at	3.68965	3.75984	3.6147	3.76927	3.69799	3.63036	3.68107
245155_at	8.26981	10.9696	8.29018	10.9808	8.13263	11.1681	8.37246
245156_at	7.25449	6.12457	7.13553	6.21168	7.22804	6.19776	7.35319
245157_at	2.96569	3.16333	3.15356	3.23704	3.03205	3.41218	3.16015
245158_at	5.1172	4.32513	5.4222	3.91511	5.35419	4.30297	5.56808
245159_at	6.0649	3.85187	6.51764	4.00436	6.32406	4.05591	6.49271
245160_at	3.13346	3.13346	3.13346	3.13346	3.11409	3.22958	3.13346
245161_at	3.91481	3.68298	3.88188	3.79078	4.10326	3.78517	4.01675
245162_at	4.04813	3.86895	3.67244	3.63353	3.8022	3.61129	3.634
245163_at	4.74942	4.36706	4.53481	4.38301	4.642	4.64899	4.275
245164_at	10.198	8.55643	9.97912	8.5941	10.2398	8.23672	10.1634
245165_at	7.03397	9.51002	6.88675	9.63243	7.34715	9.57493	7.0966
245166_at	5.55746	6.5382	6.1405	6.48515	5.60291	6.1405	6.1276
245167_s_at	11.0413	8.54455	10.9693	8.95555	11.0371	8.4768	10.8925
245168_at	13.4918	10.0286	13.2696	10.1556	13.4123	9.87284	13.3994
245169_at	6.53921	6.71042	6.70233	6.77003	6.6167	6.85977	6.7197
245170_at	3.67244	3.85601	3.68705	3.64769	3.66434	3.74039	3.67244
245171_at	4.14865	4.45586	4.09769	4.87015	4.31834	4.44022	3.78489
245172_at	3.71957	3.5494	3.5494	3.64042	3.44268	3.50641	3.47554
245173_at	11.0791	4.23884	10.9021	4.48127	11.3973	4.48969	11.0125
245174_at	3.5572	4.85368	3.4229	4.42123	3.49971	4.75744	3.50752
245175_at	9.64928	9.71165	9.41268	10.0382	9.57737	9.53952	9.47282
245176_at	6.60662	8.12136	6.31791	8.45713	6.83081	8.23034	6.37382
245177_at	3.48386	3.31112	3.3875	3.42457	3.3875	3.3875	3.22827
245178_at	9.46622	5.95798	9.60086	6.79537	9.63974	6.26719	9.75955
245179_at	8.85082	6.83353	9.09862	6.48971	8.64835	6.80916	9.02546
245180_at	7.47498	7.6439	7.63718	7.596	7.55046	7.75424	7.596
245181_at	5.99845	4.02439	5.0408	3.55234	6.02887	3.60498	5.14619
245182_at	6.35349	6.69934	6.60062	6.29621	6.09273	6.60894	6.46779
245183_at	4.45208	5.98122	4.13566	5.51376	4.02516	6.22837	3.98258
245184_at	3.3199	3.48438	3.32232	3.28972	3.32232	3.28431	3.3875
245185_at	4.45801	4.35957	4.36798	4.36798	4.36798	4.54393	4.36798
245186_at	3.74306	4.24241	3.59028	4.23112	3.36428	4.17342	3.61988
245187_s_at	8.30329	7.06391	7.91322	7.13553	8.2353	6.72412	8.22938
245188_at	6.34537	6.2398	6.4396	6.22207	6.59089	6.13568	6.65895
245189_at	3.08616	2.86199	2.9749	2.86235	2.9749	2.92732	3.0396
245190_at	3.49554	3.95543	3.80073	4.8794	3.68738	3.6772	4.05864
245191_at	4.69792	3.85703	4.16787	4.02204	4.16787	4.16787	4.16787
245192_at	2.96018	2.96018	2.97515	2.96018	2.95331	2.97515	2.96018
245193_at	7.76041	3.63055	5.3727	3.56331	7.81916	3.85453	5.59546
245194_at	5.30477	4.60923	5.36217	4.35663	5.31415	4.31513	5.30707
245195_at	10.9662	13.2594	10.7755	13.4487	10.7134	13.4803	10.816
245196_at	4.18863	5.48286	4.01501	7.31204	3.87144	6.24752	3.8254
245197_at	9.25953	7.25212	8.52317	6.7209	8.78226	7.24031	8.28802
245198_at	9.03263	10.7772	9.1504	11.3603	9.07922	10.4771	9.10908
245199_at	8.77576	9.13772	8.68061	9.31537	8.61509	9.28085	8.69337
245200_at	9.28104	8.45689	9.18905	8.44995	9.22586	8.28561	9.16898
245201_at	6.72293	9.65321	6.86003	9.23023	6.51815	9.35918	7.02372
245202_at	4.42357	6.04277	4.50769	5.28694	4.41243	6.47763	4.81837
245203_at	2.93211	2.96018	2.93211	2.91754	2.88928	2.93211	2.81508
245204_at	3.82121	3.63117	3.63117	3.62799	3.63117	3.63117	3.62661
245205_at	4.37555	4.05626	4.31008	4.04859	4.25854	4.21935	4.09351
245206_at	7.52756	7.3327	7.70217	7.01647	7.30387	6.93608	7.76105
245207_at	9.49	9.33254	9.38672	9.0871	9.31572	9.46694	9.28997
245208_at	5.1114	4.17066	4.90078	3.80531	5.05624	4.29241	4.89765
245209_at	8.70999	3.3791	9.12406	3.32699	8.9196	3.35405	9.0441
245210_at	6.17301	5.98586	6.12585	6.05682	6.02146	6.08664	6.28043
245211_at	8.95433	8.46424	9.20074	8.30474	8.81	8.35141	9.18793
245212_at	3.76896	3.81428	3.76688	3.76688	3.63117	3.94081	3.69515
245213_at	9.32186	13.1324	9.54603	13.2217	9.2146	13.2348	9.67375
245214_at	3.6038	3.07237	3.75605	3.2118	3.4229	3.33622	3.5042
245215_at	5.58467	7.68376	5.66281	7.73642	6.2236	7.80602	6.05332
245216_at	8.16635	8.5723	7.85781	8.61174	7.9025	8.92539	7.78762
245217_at	4.00436	3.98502	4.07024	3.94297	4.25183	4.00436	4.16787
245218_s_at	6.59749	6.87257	6.51923	6.39979	6.3686	6.67899	6.31877
245219_at	8.83566	9.46386	8.20552	8.41034	8.66151	9.46681	8.74221
245220_at	2.91981	3.0628	3.23509	3.08617	2.91188	3.08617	3.35118
245221_s_at	3.80721	3.17488	3.26669	3.56331	3.60393	3.17563	3.21089
245222_at	3.3145	3.14219	3.24976	3.16235	3.11035	3.16235	3.03939
245223_at	3.37504	3.32757	3.26361	3.32757	3.38201	3.25483	3.26443
245224_at	4.48049	4.18728	4.14775	4.25697	3.91202	4.36073	3.895
245225_at	4.31592	3.93966	3.90251	3.90251	3.89404	3.92968	3.90423
245226_at	10.6184	3.62155	10.557	3.58166	10.5743	3.94581	10.4477
245227_s_at	6.24514	7.18191	6.53168	5.17738	6.0169	7.01489	6.37042
245228_at	7.27357	6.28635	6.31923	6.62443	7.48577	6.56699	6.22665
245229_at	8.47987	7.35624	8.36885	7.71662	8.21825	7.33278	8.34797
245230_at	6.50728	4.68761	7.00734	5.09004	6.58514	4.96441	7.07536
245231_at	3.54881	4.22195	3.87879	4.25994	3.42194	4.57523	3.5971
245232_at	3.30373	3.18416	3.41532	3.5417	3.53207	3.55975	3.37968
245233_at	3.86162	3.85932	3.68272	3.76947	3.76947	3.76947	3.62467
245234_at	3.42142	3.60776	3.40901	3.49042	3.43031	3.50924	3.29365
245235_at	8.9324	8.57256	8.15572	8.70824	8.73481	8.82543	8.32752
245236_at	4.9346	4.36747	4.5961	4.36917	4.47406	4.32923	4.42743
245237_at	7.69354	5.82762	7.70265	5.75247	7.37526	5.567	7.64145
245238_at	8.41245	11.103	8.27815	10.878	8.24626	11.1165	8.34171
245239_at	3.74413	3.64378	3.61129	3.50204	3.61129	3.61129	3.59539
245240_at	3.55053	3.9573	3.45406	3.95018	3.61833	3.91168	3.42453
245241_at	3.5435	3.5435	3.407	3.64449	3.5435	3.73076	3.5435
245242_at	8.82116	11.8809	8.29695	11.4189	8.54909	11.5495	8.28173
245243_at	5.27135	4.2123	5.54183	4.50426	5.8206	4.43807	5.46442
245244_at	10.8044	7.25237	11.1322	7.09154	10.8565	7.20243	10.9739
245245_at	3.99438	3.81834	4.04397	3.88525	3.99438	4.01118	3.99438
245246_at	4.3025	4.30691	4.18145	4.25297	4.25297	4.40225	3.9955
245247_at	10.2549	6.16729	10.2847	6.08179	10.0813	6.41855	10.2701
245248_at	5.9218	6.87542	5.81785	6.9799	5.70569	7.08059	5.99896
