	GSM388810	GSM388811	GSM388812	GSM388813	GSM388814	GSM388815	GSM388816
252081_at	8.56964	4.3785	7.27024	4.10629	9.49888	4.81005	7.32487
252082_at	4.25039	4.33581	4.06342	4.16477	4.04585	4.23369	4.09893
252083_at	3.63117	4.08218	3.52208	4.08109	3.63562	4.03957	3.29991
252084_at	4.15687	3.90276	3.75248	4.27603	4.14644	4.16732	4.01019
252085_s_at	3.48529	3.2919	3.2919	3.2577	3.55247	3.40514	3.15714
252086_at	8.25124	7.49191	8.19589	6.80395	8.17922	8.0732	8.44284
252087_at	3.86583	3.64008	3.64439	3.56395	3.6522	3.70167	3.60486
252088_at	6.99788	6.24307	6.57688	6.49402	6.99369	6.54611	6.53879
252089_at	3.68988	4.09499	3.58591	4.08887	3.38229	4.05102	3.40797
252090_at	4.27406	4.30552	4.27406	4.59938	4.17236	4.2613	4.27406
252091_at	6.8221	6.71556	7.07075	6.73584	6.8221	6.70078	7.12505
252092_at	6.43616	10.0072	6.40755	10.0656	6.23756	10.075	6.62385
252093_at	7.64339	5.54638	7.37451	5.86827	7.64919	5.90828	7.49099
252094_at	10.8572	9.63778	10.5413	9.69156	10.652	9.67625	10.4056
252095_at	10.3461	8.72894	9.61699	8.76205	10.2105	9.06298	9.40376
252096_at	5.06552	4.39586	5.03731	4.22854	4.74004	4.64865	4.71017
252097_at	6.37759	4.05123	6.73099	4.26161	6.35932	4.05123	6.858
252098_at	6.98877	5.51378	7.14616	7.09336	6.98877	5.57037	7.20014
252099_at	8.50471	7.14648	8.40131	7.56105	8.34566	7.28558	8.56931
252100_at	6.17564	4.17175	6.01676	3.96224	6.627	4.17635	5.91581
252101_at	4.64033	4.14475	4.56803	4.3949	4.42661	4.28832	4.81416
252102_at	10.2358	4.90742	10.5783	4.25588	10.5018	5.31056	10.6334
252103_at	3.42886	3.36449	3.47649	3.22921	3.59468	3.32643	3.20189
252104_at	8.78863	7.53786	8.61023	7.61109	8.57621	7.49626	8.60265
252105_at	4.2762	5.42365	4.66071	5.39819	4.60134	5.31596	4.48652
252106_at	4.55876	4.96133	4.18211	4.88402	4.36631	4.47022	4.04283
252107_at	4.61363	4.52706	4.35976	4.52706	4.31709	4.60178	4.40382
252108_at	6.15641	5.80279	6.3681	5.78163	6.16571	6.15641	6.45259
252109_at	3.58084	3.50646	3.42068	3.12873	3.60555	3.37412	3.20679
252110_at	3.99438	3.97528	3.86904	3.84873	3.86904	3.86904	3.86904
252111_at	3.12928	3.24459	3.21248	3.15448	3.12707	3.13346	3.13346
252112_at	8.4847	6.89846	8.19145	7.23354	8.21613	7.43564	8.07472
252113_at	7.29666	5.90564	7.25003	5.88734	6.90664	5.47601	7.04152
252114_at	9.54758	7.33875	9.73186	7.79807	9.40552	7.61813	9.65787
252115_at	6.58261	11.9982	5.98048	12.0494	7.19666	11.9819	6.09799
252116_at	7.21356	10.3736	7.5546	10.61	7.35051	10.4751	7.49928
252117_at	8.04431	6.96108	7.99797	8.14255	8.12527	6.97204	7.99797
252118_at	3.97319	3.65411	3.67244	3.70979	3.66626	3.67508	3.60957
252119_at	4.69063	4.89742	4.41518	5.18096	4.44982	5.33045	4.64586
252120_at	10.8973	8.48239	10.7843	7.99096	10.6503	8.53508	10.616
252121_at	8.16409	7.56361	8.35283	8.04269	8.28739	7.92022	8.57163
252122_at	7.90313	9.07863	7.57359	9.13235	7.49058	9.3015	7.56445
252123_at	3.78299	9.5419	3.69257	9.91943	3.86396	8.86072	3.79187
252124_at	8.3243	7.49603	7.5739	8.61323	8.07333	7.95227	7.71315
252125_at	8.03492	8.47921	8.06064	8.3516	8.04838	8.07876	8.07876
252126_at	8.60898	9.1315	9.01022	9.42027	8.46239	9.32491	9.03612
252127_at	3.56518	3.81489	3.48465	3.90667	3.74638	4.05123	3.63117
252128_at	3.56046	3.59968	3.5494	3.5494	3.47677	3.85466	3.5494
252129_at	3.51763	3.33215	3.23876	3.39243	3.3875	3.38912	3.3875
252130_at	8.43512	12.9193	8.81816	12.896	8.54576	12.8477	9.13525
252131_at	10.4382	5.11822	9.82724	5.77499	10.3477	5.37168	9.78382
252132_at	7.05467	9.35945	7.07394	9.21362	7.03355	9.4507	7.04775
252133_at	9.0823	5.04827	9.71074	5.5341	9.68055	5.0184	9.96725
252134_at	10.9901	6.2216	10.4541	7.14719	10.8992	6.88323	10.4734
252135_at	9.32147	9.49134	9.08824	9.23305	8.97382	9.53312	8.7026
252136_at	8.10454	6.77641	7.98466	7.5818	8.21579	6.66493	7.85026
252137_at	3.48794	3.46207	3.48794	3.49308	3.53139	3.48794	3.48794
252138_at	3.77818	3.83012	3.77176	3.71767	3.76889	3.74344	3.77176
252139_at	8.13754	7.85095	8.24786	7.98868	8.13754	8.08889	8.1549
252140_at	3.12875	3.23689	3.13029	3.13029	3.21215	3.13029	3.10318
252141_at	9.04375	8.95209	8.84751	8.95209	8.98337	9.02666	8.79726
252142_at	7.09143	6.84922	7.16584	6.74011	6.9293	6.81117	7.13893
252143_at	3.99438	6.69471	4.49251	6.40831	4.17133	6.84836	4.53647
