	fibroblast1	fibroblast2	iPS1	iPS2
1557514_a_at	12.73143697	14.50116604	12.55333904	12.16238901
1557515_at	10.88690225	12.54090967	8.573501256	9.186181554
1557517_a_at	11.65197062	15.46522239	13.82552546	14.34142273
1557518_a_at	29.65204842	19.15124104	23.03252269	25.22990323
1557519_at	8.807907635	10.94298959	9.728807367	9.213047601
1557520_a_at	14.96345123	11.88173865	30.21892296	14.40525019
1557521_a_at	530.2546985	527.2297732	819.238186	646.8362346
1557522_x_at	636.9566126	603.1963565	927.1134213	662.7416912
1557523_at	6.768896038	9.144323748	10.886242	6.899213595
1557527_at	68.63313343	76.34079196	9.355271036	9.684578882
1557528_at	20.20197554	11.7656198	14.78851021	11.97708992
1557529_at	23.45681951	32.99829198	31.58832093	36.53205752
1557531_a_at	15.23706545	25.08352439	17.32986822	13.42476993
1557532_at	102.871328	100.4149383	104.6575742	69.8530801
1557533_at	12.97851255	10.13967475	11.27349475	11.15511637
1557534_at	6.962591215	7.343995562	6.619831292	7.360264601
1557535_at	30.72983037	39.35489744	83.43992957	37.20320728
1557536_at	44.75916629	37.31110647	54.2498008	42.06376048
1557538_at	22.29881743	26.23646013	57.85400149	40.20295811
1557539_at	45.21097674	36.12778664	31.30000416	18.76604642
1557540_at	34.581391	35.99669892	26.28828279	29.51915105
1557541_at	10.58053065	10.70124045	29.77807017	12.00118349
1557542_at	11.47250731	11.52832892	23.49495408	14.47565167
1557543_at	100.4357711	57.42878053	38.72331868	34.65789354
1557544_at	47.93276865	19.8069022	27.06587112	69.61220936
1557545_s_at	10.67632168	11.11526429	20.5088442	18.20402735
1557548_at	46.61093309	42.47937012	31.7928462	12.83551636
1557550_at	22.0666685	17.48381184	16.39441975	17.42254927
1557551_at	19.53330917	31.03073422	38.38042633	39.81965998
1557553_at	14.05949844	18.01356051	29.75721478	16.00746184
1557555_at	26.95330167	27.78700929	87.04945745	68.1394327
1557557_at	40.95241894	31.50789998	16.2890454	15.72858117
1557558_s_at	37.00496126	21.39767555	9.265525687	10.883873
1557560_at	7.073316617	7.282863906	8.767487515	7.926113475
1557562_at	21.2083192	15.11516706	47.14866209	31.23479164
1557564_at	17.21571062	19.25429977	16.10862619	17.68271896
1557565_a_at	12.92654709	15.81754555	12.9856753	11.52442504
1557566_at	7.71102604	19.63646562	28.967491	15.64726465
1557567_a_at	37.19660005	91.54828095	72.03653064	66.38260537
1557569_at	39.33855356	58.44110331	42.04326501	41.59658934
1557570_a_at	36.07693019	21.95005499	17.17512756	12.49147792
1557571_at	11.31486774	10.64590905	11.85282873	10.42097144
1557575_at	32.44679226	30.79751712	21.5823758	19.3651658
1557576_at	172.4875875	187.5812368	81.33839471	96.0589385
1557578_at	27.32676596	33.58661712	19.78430684	17.53027735
1557580_at	21.32775332	20.08515357	25.09281766	23.27755747
1557581_x_at	23.41626312	22.34234623	24.38487706	26.08331285
1557582_at	10.63840935	13.42873815	12.39553175	12.58320218
1557583_at	17.46270251	19.16034794	12.26853227	15.81371993
1557584_at	50.71382644	43.48374562	38.36387462	45.84771493
1557585_at	11.2040982	12.88103124	15.77217601	14.57808421
1557586_s_at	18.45716882	23.3716411	41.04424201	32.87186957
1557588_at	19.10247892	20.91781837	21.24612866	17.23628753
1557589_a_at	20.72837401	22.40204288	14.63050815	16.09598147
1557590_at	31.27774073	35.77979955	18.79361292	29.47430751
1557591_at	15.1667602	18.96653129	13.20127341	13.16276957
1557593_at	15.9947542	13.66936731	61.81210494	32.36291228
1557595_at	47.42556615	49.89240762	42.94249415	34.77434727
1557597_at	10.86883804	10.83602865	11.8107161	21.80947771
1557598_at	6.452507441	6.710577796	6.09120342	7.683551291
1557599_a_at	6.375456546	6.286995711	6.205111141	6.971898605
1557601_s_at	93.99738627	120.2816703	76.96837993	66.50516938
1557602_at	9.091737987	10.72833581	9.125540182	9.509008805
1557604_at	11.80100497	12.8632935	12.10482322	9.722718231
1557605_a_at	27.0671116	25.33910033	24.35104202	19.86192694
1557606_at	11.52307666	9.920757611	8.401957173	9.10143286
1557607_at	11.77563203	9.930729367	10.94151759	10.65014215
1557608_a_at	20.38204188	20.87610138	15.72010729	13.18820597
1557609_s_at	53.53201589	81.83006286	14.11872181	13.70111212
1557610_at	97.4748072	61.43997522	32.17152954	48.25211847
1557611_at	47.61976332	44.68085512	54.51977726	42.87526732
1557613_at	74.74961663	66.34455279	54.69707299	58.03977349
1557615_a_at	14.52426653	16.89546529	17.24006155	23.00429356
1557616_at	32.73368053	21.3445138	86.42933213	113.8973244
1557617_at	10.30863431	50.46832204	7.113764032	8.537537984
1557618_at	10.92166495	14.35244538	10.62123826	9.5867137
1557620_a_at	13.58493709	14.03980789	16.64064986	12.80525986
1557621_at	20.45073647	18.34250904	22.01324124	19.39301398
1557623_at	10.06051902	11.49947697	10.18884054	8.673332749
1557624_at	78.9572239	92.71975146	89.17004827	207.4981203
1557626_at	21.82194102	18.08613403	23.90939249	39.73417833
1557627_at	7.497019403	8.725214622	6.838540391	6.705221859
1557628_s_at	27.0724271	23.41703673	20.86605612	20.42430993
1557630_s_at	157.4365568	135.8867356	170.0871704	104.1123549
1557631_at	14.37154769	12.5396118	12.19636088	14.01801933
1557632_at	34.90541018	27.39257235	26.45028245	26.32498294
1557633_at	11.05728403	10.65064362	11.70837383	11.1699241
1557636_a_at	6.108309121	5.579247972	28.84752199	57.26288963
1557637_at	13.97566601	10.84479472	15.997609	13.27429614
1557638_at	11.61380345	14.54026208	22.05425032	18.55860168
1557639_at	13.51673012	11.71013509	26.07703746	20.3063067
1557641_at	10.56818226	11.38509061	9.897412508	9.970531655
1557642_at	7.905393362	9.192057649	12.83315575	9.20256835
1557644_at	24.17021275	15.20436246	71.58165516	43.81278109
1557645_at	6.565542365	7.014234288	7.105750908	7.509414948
1557646_at	14.10942923	11.41904212	10.53070126	12.06907168
1557647_a_at	7.208962972	5.953587733	7.380072924	7.176760756
1557649_at	36.86417491	18.974613	36.44850419	33.77655398
1557651_x_at	50.88660051	45.7187833	30.43608041	31.62682523
1557652_a_at	22.20508839	23.11043879	16.1636726	17.33434794
1557656_at	24.34415815	23.49649177	22.611537	21.01438174
1557657_a_at	10.71925413	11.10948277	10.36914362	10.63471203
1557658_at	15.58774898	13.1917463	19.75899631	20.19296616
1557659_a_at	11.62860257	9.783690148	28.45804704	46.32384752
1557660_s_at	15.64421164	17.21719594	15.43540486	14.31676704
1557661_at	9.647207216	8.246854585	9.688362111	6.876190203
1557664_at	11.74849307	11.33269591	7.739003081	10.71900867
1557665_at	18.72008216	21.43929446	19.42447368	15.09374067
1557666_s_at	17.49672237	21.41015939	12.95907211	11.16723846
1557667_at	159.0671151	135.7539176	177.2787159	125.6199369
1557669_at	15.83244514	14.0626031	11.78049233	12.45529816
1557672_s_at	9.675003861	11.06741458	7.991304335	7.869661625
1557673_at	22.78805929	18.62040125	39.98021546	24.69285991
1557674_s_at	25.05489442	36.47749754	54.0938153	13.72158782
1557675_at	153.9042092	101.1325518	215.1740633	137.4147499
1557676_at	27.62134837	26.49664611	21.61026403	21.52381472
1557677_a_at	15.74602795	16.93439843	15.6348871	15.79141892
1557679_at	21.4817948	23.04887602	26.66017869	20.31860352
1557680_at	18.15339121	18.17658809	12.28304749	17.40228702
1557681_s_at	18.10872799	26.76807625	21.42599371	23.19073735
1557682_a_at	14.44226844	18.91830851	14.10233716	15.20436327
1557683_at	12.30842929	11.74601141	11.48646194	11.88527451
1557684_at	912.2301386	781.1324519	2251.901393	2541.055023
1557685_at	28.02691386	43.50298382	56.22523902	23.07015068
1557688_at	9.453425753	10.33994761	29.05378758	15.28575313
1557689_at	12.26160218	9.175281539	9.219103996	7.459762058
1557690_x_at	17.2747232	8.276384358	11.2783777	8.620563154
1557692_a_at	6.510553665	6.116093516	5.338236949	6.363018442
1557693_at	41.64811034	28.18072215	23.92827286	30.6177297
1557697_at	15.3500507	21.65312799	18.28570384	13.54725187
1557698_at	12.96530087	12.29509468	30.40832518	17.3605917
1557699_x_at	13.93487317	12.63983426	29.71755371	16.49078148
1557700_at	13.73221388	20.97401125	18.30734203	19.9628871
1557701_s_at	280.6275788	297.6221153	77.9973502	49.24651177
1557702_at	40.2497898	37.06009501	48.41339101	118.9275009
1557703_at	10.45773316	8.173907431	11.27536876	10.84874341
1557704_a_at	34.92922723	17.22542469	23.40978491	26.72129154
1557705_a_at	31.19725632	42.21514487	28.66829969	22.79301285
1557706_at	15.94574343	13.28165261	81.5967632	33.06349741
1557707_at	8.975649558	7.874642319	11.88944997	8.331886069
1557709_at	9.695091922	12.99250206	11.38151827	8.460980168
1557710_at	32.68697505	31.70069408	38.22113016	26.44455846
1557712_x_at	90.53147062	62.01900177	118.2637585	76.86839871
1557713_at	14.59639907	15.58390515	11.55016649	12.5239704
1557714_at	29.27518738	34.82190074	24.95800943	31.02520449
1557717_at	9.541150612	10.97695252	12.96841914	11.08580159
1557718_at	81.87114642	60.12254662	243.4496888	118.49684
1557719_at	20.43800685	27.2010219	29.11569311	28.65396717
1557720_s_at	21.08418918	22.02362535	20.26002538	19.29327529
1557721_at	15.76253994	18.36394954	17.58683958	14.19706291
1557723_at	13.7732389	17.35821158	13.01225908	14.48016931
1557724_a_at	26.76084717	20.33075278	26.94234987	27.16074972
1557726_at	15.89639441	15.68661015	18.27188811	15.89869255
1557727_at	10.95518189	10.68823857	10.07043348	11.39604617
1557729_at	38.50600572	38.75222313	16.36444958	17.16259377
1557731_at	27.96713017	29.42224397	23.79077589	20.14856246
1557733_a_at	8.511607874	8.46906396	13.11346884	7.705841864
1557734_s_at	15.6659791	18.84174854	13.20960779	14.24506183
1557735_at	7.908950072	7.366653713	8.12470126	6.954863312
1557736_at	54.68537414	26.41745531	146.2289956	83.10371722
1557737_s_at	156.6494057	115.6411267	337.3227753	207.0284357
1557738_at	17.76911064	15.97455736	52.12351209	43.4942881
1557739_at	12.89854153	12.46682714	11.94008426	10.75029602
1557740_a_at	45.76108028	61.05762728	14.33097277	11.60514654
1557741_at	6.721657242	6.41110975	7.489980995	7.280360945
1557742_a_at	13.14359075	13.45384151	13.26382706	13.20151942
1557744_at	34.19255677	36.78360483	29.62641435	35.65242589
1557745_at	9.261760957	8.072467687	14.29510268	13.91708426
1557746_at	6.135704669	6.408944422	6.224072805	6.863487842
1557749_at	14.37543988	11.98164534	7.882096738	7.681882223
1557751_at	48.74691499	39.7973168	248.9501565	166.8869137
1557753_at	8.437846912	9.849583329	8.072301125	10.12399337
1557754_at	13.06226878	25.72591413	50.2849569	48.45312401
1557755_at	58.02385626	54.74678178	52.54743753	48.70679976
1557756_a_at	31.21629758	32.92939224	68.67080558	50.33751891
1557757_at	46.30336782	52.80513591	40.93721688	42.3219628
1557758_at	7.908587327	10.39069706	9.681996287	9.147646287
1557759_at	24.40366741	22.00481722	51.3099238	38.1436155
1557761_s_at	12.30774076	11.33788895	9.480273016	9.307255576
1557762_at	6.072556921	6.592731512	7.076992047	5.824677133
1557763_at	8.626342865	7.741164952	8.654155454	6.516539082
1557765_at	7.153406507	21.01645747	144.2131563	63.53832755
1557767_at	21.12962957	20.21008945	19.53171202	23.89021177
1557768_at	12.56008885	12.76800941	12.32851992	13.7666579
1557769_at	13.76608563	13.70604268	20.82332743	19.41984854
1557770_at	10.18718017	19.70370067	47.91265799	32.29352252
1557771_at	26.43472045	20.84026298	24.35461053	22.35833115
1557772_at	8.485503901	8.745355451	16.44567122	10.06743613
1557774_at	31.37540057	34.07523851	25.25238528	31.95512111
1557775_a_at	8.500072385	10.29636357	22.3570847	15.71852449
1557776_at	12.7360351	14.55214417	22.36550347	24.94972111
1557777_at	46.3962662	46.50651492	58.80294571	51.40679312
1557778_at	7.579900413	7.242620351	7.141892626	8.043745265
1557779_at	37.85404241	22.27679941	20.34746581	16.72572095
1557780_at	39.84235927	27.19759415	193.0877668	71.04614677
1557782_s_at	19.10285903	25.56207713	14.7878385	13.38793212
1557783_at	24.3851603	21.86327611	17.74126765	25.63990295
1557786_s_at	29.76759576	35.98324111	44.25780576	37.51100468
1557787_at	12.14043283	14.95912522	15.01183458	13.15433853
1557788_a_at	17.95200446	24.82479264	15.22649134	14.77657854
1557789_at	12.78607007	15.48419456	11.86683851	10.78867711
1557790_at	33.59792788	30.97940587	23.22168487	20.98785326
1557791_at	14.02637361	12.51034047	12.60384082	11.6022113
1557793_at	9.12292105	14.65229714	14.34740671	11.71480514
1557795_s_at	50.15325256	39.52533921	32.64197991	39.40795854
1557796_at	11.31262243	11.30265914	11.94268612	39.09919222
1557797_a_at	97.46971535	57.6334791	13.18798712	21.93661288
1557798_at	19.3168248	12.41294282	20.45674463	18.27292068
1557799_at	191.7464132	407.0106777	322.2039066	434.5205619
1557801_x_at	162.6026907	353.3240222	287.7886466	354.0576104
1557802_at	7.405101036	7.184904257	10.49344716	9.378257683
1557803_at	10.72645239	12.49979832	40.11480002	24.31682382
1557804_at	55.75309288	39.33890629	54.42061684	63.23456384
1557805_at	11.16850009	10.19616855	54.71269513	24.71976541
1557807_a_at	21.00361781	17.77187819	14.54908522	20.57262168
1557809_a_at	14.75326315	10.91878199	24.46595258	14.24806362
1557810_at	25.20181711	11.20841376	16.93348738	19.74414383
1557811_a_at	13.12533706	12.4124811	11.47989652	10.55654746
1557812_a_at	10.78424577	10.89167954	24.74856237	23.16747568
1557813_at	30.72942603	51.5438342	224.0214144	71.78488447
1557814_a_at	25.74531839	21.7092955	140.6948177	35.95069054
1557816_a_at	27.36611059	23.10588949	183.7634738	257.7246827
1557817_a_at	66.48983443	62.31553553	45.05658917	56.39670184
1557818_x_at	40.92903585	38.70452109	28.57786947	25.53603629
1557820_at	1382.233582	1308.006922	2867.525917	4029.742477
1557821_at	16.30262505	20.51250295	11.83290425	13.85618674
